Swiss-Prot_ID	DeepPhase_score
H3BRN8	0.45458186
H3BS89	0.9622073
H3BV60	0.8333691
H7C350	0.9925511
K7EJ46	0.29580602
L0R6Q1	0.43097997
L0R8F8	0.38336495
O00116	0.99988866
O00124	0.36819437
O00139	0.94533163
O00141	0.99643624
O00148	0.9998801
O00151	0.3729997
O00154	0.6667928
O00159	0.74512124
O00161	0.76402277
O00165	0.5729565
O00167	0.41798744
O00168	0.69122785
O00170	0.41501293
O00178	0.98643005
O00180	0.34430915
O00182	0.475717
O00186	0.30531472
O00187	0.92609406
O00192	0.5201085
O00193	0.23207779
O00194	0.95581836
O00203	0.67792463
O00204	0.809657
O00206	0.33799067
O00213	0.50355667
O00214	0.28766108
O00217	0.47565803
O00219	0.12528811
O00220	0.31385988
O00221	0.9539963
O00231	0.61191434
O00232	0.6728684
O00233	0.44570762
O00241	0.92421764
O00244	0.2927433
O00255	0.4746463
O00257	0.49216235
O00264	0.99958366
O00267	0.4187391
O00268	0.9773476
O00273	0.5381989
O00287	0.993978
O00291	0.48110205
O00299	0.39002466
O00303	0.9991524
O00311	0.29459992
O00327	0.7797829
O00329	0.905224
O00330	0.71721894
O00391	0.8294392
O00399	0.59512186
O00400	0.30297375
O00401	0.55849
O00408	0.43639582
O00409	0.37952894
O00410	0.3073219
O00411	0.54704237
O00418	0.54347616
O00422	0.6022671
O00425	0.86010575
O00429	0.3169888
O00442	0.4321903
O00443	0.3868816
O00444	0.33908382
O00451	0.48680216
O00458	0.33074874
O00459	0.9675491
O00461	0.8611043
O00462	0.6760482
O00463	0.61849827
O00468	0.41312113
O00469	0.6481136
O00470	0.72978115
O00472	0.58802927
O00479	0.2960094
O00481	0.83442074
O00482	0.9984688
O00483	0.4275638
O00487	0.5324358
O00488	0.9998084
O00499	0.48683465
O00505	0.36696798
O00507	0.8643837
O00512	0.9999994
O00515	0.49631536
O00519	0.50757784
O00522	0.73467004
O00534	0.53411686
O00541	1.0
O00548	0.5840466
O00555	0.12624092
O00559	0.999972
O00560	0.44249806
O00562	0.60884297
O00566	0.9999988
O00567	0.9941042
O00571	0.7683292
O00587	0.43449455
O00590	0.56870234
O00592	0.99548066
O00625	0.48495024
O00628	0.75011206
O00629	0.5705853
O00631	0.18754694
O00635	0.47047475
O00712	0.95650935
O00716	0.99778
O00744	0.5015579
O00746	0.4367437
O00748	0.4465151
O00750	0.13498928
O00754	0.8292093
O00757	0.3218376
O00762	0.531171
O00764	0.70893484
O00767	0.48108622
O14493	0.4508039
O14494	0.42245185
O14495	0.5615671
O14497	0.58544326
O14498	0.41846836
O14503	0.97607714
O14508	0.85850716
O14511	0.73937756
O14512	0.41695026
O14513	0.97879285
O14519	0.38854367
O14523	0.5771092
O14524	0.97601205
O14525	0.81674016
O14526	0.5359738
O14530	0.34908423
O14531	0.9978725
O14543	0.34530637
O14544	0.9443266
O14545	0.35066918
O14548	0.61678404
O14556	0.41326904
O14559	0.371871
O14561	0.3856829
O14562	0.42288393
O14578	0.3661323
O14579	0.72247744
O14593	0.7010249
O14594	0.9937397
O14595	0.22718751
O14602	0.5186547
O14607	0.88629776
O14613	0.3759746
O14617	0.18021457
O14628	0.7169763
O14639	0.46584284
O14641	0.52799594
O14646	0.7958253
O14647	0.90731597
O14653	0.4638434
O14656	0.4928913
O14657	0.9999726
O14662	0.9379291
O14668	0.75056523
O14669	0.90078086
O14672	0.9965082
O14681	0.59400177
O14682	0.9668939
O14683	0.97624755
O14684	0.37006453
O14686	0.57839036
O14709	0.34300178
O14713	0.94520175
O14715	0.60582197
O14717	0.9969133
O14727	0.37641296
O14730	0.87451285
O14732	0.89137036
O14733	0.5486966
O14734	0.7758198
O14735	0.50849754
O14737	0.3115293
O14744	0.43858394
O14745	0.87331456
O14746	0.99658513
O14753	0.8583316
O14756	0.88688314
O14757	0.8598888
O14764	0.7861461
O14770	0.65697956
O14771	0.8619296
O14772	0.90962714
O14775	0.86767507
O14776	0.56048614
O14777	0.5218334
O14782	0.999851
O14786	0.5049822
O14787	0.87737703
O14792	0.4659558
O14795	0.79321784
O14802	0.8662486
O14810	0.98521614
O14813	0.42312127
O14827	0.3666883
O14828	0.99300027
O14829	0.526307
O14841	0.77830124
O14862	0.5435692
O14867	0.36176047
O14874	0.5363402
O14879	0.53372854
O14880	0.46212086
O14893	0.6214652
O14894	0.5417081
O14896	0.34674662
O14901	0.46508685
O14907	0.70789653
O14908	0.42709184
O14917	0.99346924
O14920	0.7973328
O14924	0.6708982
O14925	0.52358985
O14929	0.4665038
O14933	0.43797514
O14936	0.29909205
O14944	0.5679188
O14948	0.5220714
O14949	0.69293505
O14950	0.78687644
O14964	0.9999989
O14965	0.73930097
O14966	0.9854414
O14967	0.48329636
O14972	0.77898985
O14974	0.55233604
O14976	0.91969764
O14977	0.96913797
O14978	0.8081773
O14979	0.26246184
O14980	0.94928247
O14981	0.97462547
O14983	0.5248924
O14986	0.45026317
O15013	0.75122833
O15014	0.6519498
O15015	0.42941788
O15016	0.73864245
O15018	0.7319497
O15020	0.41596228
O15021	0.78160137
O15027	0.6209668
O15037	0.25594458
O15040	0.44539198
O15041	0.97560877
O15042	0.42333195
O15047	0.56475675
O15049	0.5556658
O15050	0.4638121
O15054	0.9996934
O15056	0.34183645
O15060	0.6778595
O15062	0.9475821
O15063	0.7585526
O15066	0.6795223
O15067	0.6252406
O15069	0.51761496
O15072	0.82562065
O15075	0.28882933
O15078	0.8163518
O15079	0.41668984
O15085	0.5628624
O15090	0.66753256
O15091	0.5027921
O15105	0.52427715
O15111	0.84387416
O15116	0.99538475
O15118	0.44650817
O15119	0.6296454
O15120	0.72732925
O15121	0.439154
O15126	0.80588657
O15127	0.72467995
O15131	0.94716096
O15143	0.83952636
O15144	0.70962393
O15145	0.59014606
O15151	0.2828735
O15156	0.38518053
O15160	0.69373924
O15162	0.49685195
O15164	0.48068637
O15165	0.47632125
O15169	0.9999075
O15173	0.7266567
O15178	0.24120402
O15182	0.47883168
O15194	0.9994185
O15197	0.71766824
O15198	0.44506264
O15205	0.6038011
O15209	0.58887064
O15211	0.17701606
O15212	0.409721
O15226	0.6041337
O15230	0.6398687
O15231	0.989375
O15232	0.7212632
O15234	0.6748077
O15239	0.45650917
O15240	0.9122302
O15243	0.46214813
O15247	0.25859758
O15254	0.7749929
O15258	0.4131903
O15259	0.9607885
O15264	0.8305863
O15265	0.5789338
O15266	0.73941326
O15269	0.43826666
O15270	0.7771163
O15287	0.59839666
O15294	0.38604188
O15296	0.367421
O15297	0.19649516
O15304	0.55175114
O15305	0.54427534
O15315	0.98742837
O15318	0.34246394
O15321	0.8579709
O15327	0.80997884
O15347	0.89011526
O15350	0.8662098
O15354	0.42243102
O15355	0.57998586
O15357	0.5710553
O15360	0.14981759
O15370	0.5650198
O15371	0.42795065
O15372	0.4270439
O15374	0.5450359
O15379	0.381351
O15381	0.98450273
O15391	0.552723
O15392	0.4109821
O15393	0.9565651
O15394	0.60132414
O15397	0.45724347
O15400	0.47065708
O15403	0.99761224
O15405	0.48887905
O15409	0.69807416
O15417	0.5006437
O15427	0.44673198
O15432	0.64752394
O15438	0.30733663
O15440	0.3915281
O15446	0.99844104
O15460	0.85155404
O15466	0.3712907
O15479	0.5307626
O15488	0.5845317
O15492	0.48028544
O15498	0.6134454
O15503	0.9695052
O15504	0.348191
O15511	0.7685023
O15514	0.98253137
O15516	0.9970951
O15519	0.9434977
O15522	0.5627237
O15523	0.7683292
O15524	0.65144765
O15527	0.6060876
O15530	0.98029757
O15534	0.6154889
O15535	0.51253456
O15539	0.9817007
O15541	0.16313572
O15547	0.9534558
O15550	0.88629776
O15551	0.5657735
O43143	0.8799821
O43147	0.39791143
O43148	0.6657683
O43149	0.52749574
O43150	0.2828265
O43151	0.85976565
O43156	0.9527741
O43159	0.98039734
O43164	0.85706145
O43166	0.47302088
O43167	0.5024977
O43169	0.5614341
O43172	0.5659228
O43173	0.56164736
O43175	0.49110076
O43181	0.61691177
O43184	0.57684237
O43187	0.9999924
O43189	0.4548726
O43196	0.9999757
O43236	0.41887975
O43237	0.5367835
O43240	0.857329
O43242	0.46510872
O43248	0.75505763
O43251	0.5816383
O43252	0.99999344
O43255	0.8610916
O43257	0.13616718
O43264	0.25633
O43278	0.9308409
O43281	0.44699678
O43283	0.5136247
O43290	0.9998747
O43291	0.66836107
O43293	0.40639716
O43294	0.47635815
O43295	0.98487604
O43298	0.9769444
O43299	0.80484444
O43301	0.37905928
O43303	0.61304957
O43304	0.7766832
O43306	0.9780316
O43307	0.1697042
O43309	0.8965097
O43310	0.42538726
O43313	0.67026067
O43314	0.9208812
O43318	0.9280371
O43324	0.30246195
O43325	0.5071708
O43347	0.5634139
O43353	0.52728564
O43361	0.5864832
O43364	0.43381009
O43365	0.5151799
O43374	0.96253157
O43379	0.45743322
O43390	0.6918209
O43395	0.5024079
O43396	0.45546615
O43399	0.87039655
O43402	0.3602092
O43405	0.92022496
O43414	0.51456225
O43422	0.67727965
O43426	0.8544546
O43427	0.7560954
O43432	0.23451993
O43435	0.9402686
O43439	0.61825514
O43448	0.36441585
O43462	0.9823668
O43464	0.47792873
O43474	0.53579646
O43482	0.7216768
O43488	0.32749748
O43491	0.89765733
O43493	0.9966804
O43502	0.5571417
O43504	0.8123513
O43513	0.8968119
O43516	0.60925305
O43524	0.52011913
O43526	0.9739808
O43529	0.31305844
O43541	0.9096806
O43542	0.7290991
O43543	0.9995759
O43556	0.8235136
O43559	0.5348155
O43561	0.54126227
O43566	0.5183531
O43567	0.98704463
O43570	0.383652
O43572	0.69085515
O43583	0.28750634
O43592	0.44528785
O43593	0.6951553
O43597	0.38426423
O43598	0.5255694
O43602	0.41107774
O43609	0.83920974
O43610	0.3860502
O43615	0.8346793
O43617	0.4232223
O43623	0.6786005
O43633	0.951013
O43638	0.32594892
O43653	0.57910526
O43657	0.4218135
O43660	0.5710227
O43665	0.60528255
O43670	0.8225225
O43674	0.48662448
O43677	0.3954341
O43679	0.65586144
O43681	0.4399924
O43683	0.78809905
O43684	0.46156847
O43688	0.45248857
O43692	0.5073297
O43704	0.9722214
O43707	0.99725133
O43708	0.58472717
O43709	0.48923996
O43711	0.38640398
O43715	0.51044667
O43719	0.7753506
O43731	0.6020069
O43734	0.8587046
O43736	0.44859192
O43739	0.35480297
O43741	0.9121884
O43747	0.9285489
O43752	0.7802117
O43759	0.33576837
O43760	0.44036704
O43761	0.49605304
O43763	0.2343737
O43765	0.45952034
O43766	0.7840889
O43768	0.9426091
O43772	0.30923653
O43776	0.23541881
O43781	0.47888988
O43790	0.3494665
O43795	0.32800728
O43808	0.92000484
O43809	0.98196167
O43813	0.9550067
O43815	0.25190973
O43818	0.88508266
O43819	0.4148547
O43822	0.41974664
O43823	0.79063547
O43824	0.33447513
O43829	0.46758893
O43837	0.83572835
O43847	0.99856037
O43852	0.91626793
O43865	0.3120564
O43889	0.5799042
O43897	0.9966832
O43900	0.42065147
O43903	0.43584126
O43913	0.4210384
O43921	0.37554893
O43929	0.9974021
O43933	0.47425675
O43934	0.864229
O60216	0.47168213
O60218	0.76713634
O60220	0.42069715
O60225	0.9616916
O60229	0.686642
O60231	0.28636515
O60232	0.15271936
O60234	0.9038267
O60237	0.5243778
O60238	0.9703573
O60239	0.99994326
O60240	0.9944344
O60241	0.8133784
O60243	0.31366798
O60244	0.36740237
O60245	0.43641156
O60248	0.77807206
O60256	0.49759075
O60259	0.97186375
O60260	0.98795646
O60264	0.99989164
O60268	0.77923095
O60269	0.4093997
O60271	0.45831636
O60279	0.44333193
O60281	0.7802796
O60282	0.83323014
O60285	0.8105924
O60287	0.9979017
O60290	0.48294613
O60292	0.99103874
O60293	0.8414984
O60294	0.99986887
O60296	0.9934835
O60299	0.8147591
O60303	0.4717599
O60304	0.45658952
O60306	0.34748286
O60307	0.97147727
O60309	0.9313535
O60313	0.71730906
O60315	0.9999316
O60318	0.54958695
O60320	0.78148437
O60330	0.73595655
O60331	0.711252
O60333	0.5064648
O60336	0.9997944
O60337	0.35474792
O60341	0.6659409
O60343	0.29640907
O60347	0.8430187
O60353	0.5553005
O60356	0.39517474
O60381	0.93776405
O60422	0.6543563
O60437	0.45592928
O60443	0.87350553
O60447	0.9988605
O60462	0.95019734
O60469	0.36556506
O60476	0.85046947
O60477	0.38509354
O60481	0.40029174
O60486	0.40213352
O60487	0.7573844
O60488	0.9447238
O60499	0.3740895
O60502	0.09905128
O60503	0.4665639
O60504	0.5078492
O60506	0.6377813
O60507	0.72700036
O60508	0.5626814
O60512	0.6206786
O60513	0.5286059
O60518	0.9470411
O60519	0.36457083
O60524	0.91376764
O60551	0.60758907
O60563	0.3683777
O60566	0.3436654
O60573	0.34643623
O60575	0.9999964
O60583	0.48644942
O60602	0.60154873
O60603	0.40918422
O60609	0.54134953
O60610	0.27789396
O60613	0.96653295
O60635	0.9987563
O60636	0.51873994
O60637	0.4274727
O60641	0.20792744
O60645	0.5585402
O60658	0.87257826
O60662	0.72106206
O60663	0.6256242
O60664	0.99982834
O60667	0.48316815
O60669	0.8979902
O60671	0.9957092
O60673	0.75603014
O60674	0.26794416
O60675	0.5047119
O60682	0.47303656
O60683	0.34314907
O60684	0.42897177
O60687	0.08368748
O60701	0.74205315
O60706	0.33295444
O60711	0.55309886
O60716	0.5152805
O60721	0.20063974
O60729	0.13911584
O60732	0.47739547
O60733	0.9855393
O60749	0.999671
O60759	0.3701433
O60763	0.91550964
O60765	0.5160784
O60779	0.4413739
O60783	0.6974925
O60784	0.5764351
O60806	0.98021275
O60814	0.42683145
O60825	0.44099998
O60826	0.9522293
O60828	0.8781992
O60829	0.9462169
O60830	0.36792105
O60831	0.5555502
O60832	0.9995691
O60841	0.37478793
O60861	0.41953415
O60869	0.48649657
O60870	0.7786442
O60879	0.9845931
O60884	0.42627934
O60885	0.5433214
O60888	0.38276908
O60890	0.5683602
O60894	0.5295626
O60895	0.29796794
O60906	0.7903974
O60907	0.5239495
O60909	0.358964
O60911	0.9384845
O60925	0.5278682
O60927	0.9803027
O60931	0.8828742
O60934	0.90961087
O60936	0.06842986
O60941	0.39594316
O60942	0.78206694
O75027	0.33676714
O75031	0.39590538
O75044	0.53157747
O75052	0.9689822
O75054	0.35528266
O75056	0.44705528
O75061	0.66610897
O75063	0.8647406
O75064	0.44194576
O75071	0.6773566
O75081	0.5859965
O75083	0.6470901
O75084	0.300653
O75093	0.31470892
O75094	0.44579545
O75095	0.37223318
O75096	0.8404818
O75112	0.5308504
O75113	0.8767394
O75116	0.23835059
O75122	0.47063798
O75123	0.52444535
O75127	0.3764608
O75128	0.15565413
O75129	0.40456668
O75131	0.42562988
O75132	0.20406136
O75140	0.8290428
O75143	0.37569055
O75144	0.9869948
O75145	0.42934906
O75146	0.92025334
O75147	0.72253525
O75150	0.46842337
O75152	0.5712367
O75153	0.71802896
O75154	0.5026511
O75155	0.9686319
O75157	0.45255616
O75159	0.6442136
O75164	0.9999951
O75165	0.39359167
O75170	0.9753718
O75173	0.99506193
O75175	0.7796557
O75177	0.46679443
O75179	0.6524848
O75182	0.34570342
O75185	0.23838098
O75190	0.55112344
O75191	0.99280024
O75200	0.43900833
O75208	0.45771846
O75264	0.5582205
O75290	0.41966525
O75293	0.46404067
O75298	0.97871333
O75306	0.3778158
O75312	0.73537666
O75319	0.82874787
O75323	0.55713207
O75324	0.8877295
O75325	0.3848771
O75326	0.4758538
O75330	0.58758485
O75340	0.46358165
O75342	0.456166
O75347	0.47216612
O75348	0.47769168
O75351	0.94462806
O75352	0.40962264
O75354	0.53067917
O75355	0.31234774
O75356	0.7139413
O75362	0.8743815
O75363	0.93188876
O75367	0.5303466
O75368	0.67024845
O75369	0.49539146
O75376	0.9725328
O75379	0.7145214
O75381	0.9820915
O75382	0.38029113
O75385	0.57866293
O75386	0.31481123
O75387	0.94966924
O75390	0.58627945
O75391	0.6853963
O75398	0.56240267
O75400	0.99977845
O75414	0.99792564
O75417	0.63549954
O75419	0.67640233
O75420	0.9650696
O75425	0.43624586
O75427	0.7635634
O75431	0.5090889
O75436	0.9998578
O75438	0.5706826
O75439	0.8990544
O75446	0.275926
O75449	0.8575225
O75459	0.96937513
O75461	0.39804858
O75467	0.9988018
O75469	0.6014639
O75474	0.19402148
O75475	0.48058635
O75477	0.62124
O75486	0.56260663
O75487	0.9999995
O75489	0.34308776
O75493	0.41338718
O75494	0.545922
O75496	0.6036749
O75521	0.9253728
O75525	0.7850532
O75528	0.45926216
O75529	0.98271286
O75530	0.44369754
O75531	0.38384473
O75533	0.73996574
O75534	0.5309481
O75541	0.52966464
O75553	0.883155
O75554	0.9140483
O75558	0.6149249
O75563	0.64961505
O75564	0.6228431
O75569	0.50230515
O75575	0.7017868
O75586	0.76170886
O75592	0.45756966
O75600	0.69161767
O75604	0.7785108
O75607	0.6158447
O75608	0.556653
O75616	0.46424437
O75618	0.41225752
O75626	0.99973685
O75629	0.35955662
O75631	0.5364183
O75635	0.28616524
O75643	0.32941273
O75648	0.51835525
O75663	0.90428776
O75665	0.39369574
O75677	0.55486387
O75678	0.55486387
O75679	0.55486387
O75683	1.0
O75688	0.6716483
O75689	0.6681267
O75691	0.618769
O75694	0.6141066
O75695	0.65127784
O75712	0.78120303
O75716	0.39566675
O75717	0.5653997
O75718	0.7628821
O75746	0.96326274
O75751	0.9755382
O75752	0.5024845
O75764	0.45265427
O75781	0.85627747
O75783	0.7462749
O75792	0.2706557
O75794	0.4587042
O75800	0.4637278
O75807	0.9847365
O75808	0.44360796
O75815	0.42093775
O75817	0.9960328
O75818	0.70781004
O75820	0.62356305
O75821	0.52292985
O75822	0.4457338
O75828	0.3746964
O75832	0.52470666
O75840	0.60271937
O75844	0.9310674
O75845	0.5003852
O75864	0.19402021
O75874	0.7671469
O75879	0.55009323
O75882	0.44556013
O75884	0.3041839
O75886	0.99276465
O75891	0.22683096
O75896	0.77042687
O75897	0.36029297
O75907	0.9951507
O75909	0.42062312
O75911	0.56331474
O75912	0.253544
O75914	0.45855725
O75915	0.34189087
O75916	0.53590196
O75923	0.5405859
O75925	0.41780806
O75928	0.2805309
O75934	0.9286703
O75935	0.4407715
O75937	0.31427902
O75940	0.7388935
O75943	0.57381016
O75947	0.4451247
O75952	0.22003357
O75953	0.5116595
O75954	0.5612243
O75955	0.991384
O75956	0.5627043
O75962	0.9999304
O75964	0.4786179
O75971	0.4123022
O75976	0.6398516
O75995	0.123572744
O76011	0.72242945
O76021	0.94774234
O76027	0.51147157
O76031	0.838306
O76036	0.52061224
O76039	0.8420693
O76054	0.4905426
O76061	0.42553684
O76062	0.530512
O76064	0.3503115
O76071	0.2830069
O76074	0.229312
O76075	0.7419975
O76080	0.595183
O76082	0.351319
O76083	0.9992576
O76095	0.9861858
O77932	0.5372222
O94759	0.5626884
O94760	0.8998626
O94761	0.2844241
O94762	0.41135022
O94763	0.35997012
O94768	0.7546928
O94776	0.52145195
O94779	0.5796685
O94782	0.18368673
O94805	0.9290767
O94806	0.8687848
O94808	0.99900997
O94811	0.37502626
O94818	0.46482018
O94819	0.5265147
O94822	0.72441995
O94826	0.6937004
O94827	0.26294643
O94830	0.43783057
O94832	0.41514587
O94842	0.9149631
O94844	0.7042032
O94850	0.18712397
O94851	0.4486544
O94855	0.53286064
O94864	0.3287548
O94868	0.6020867
O94874	0.33665305
O94875	0.36971635
O94880	0.8251804
O94885	0.48468533
O94886	0.49409056
O94887	0.38895223
O94888	0.4843456
O94889	0.64166504
O94892	0.60795313
O94898	0.71437365
O94900	0.7953819
O94901	0.9785735
O94903	0.32083893
O94905	0.53803194
O94906	0.5436052
O94911	0.4124048
O94913	0.41176742
O94915	0.52929175
O94916	0.5186774
O94919	0.48714387
O94921	0.6714185
O94925	0.41403273
O94929	0.49954253
O94933	0.8070599
O94941	0.56699264
O94952	0.4364894
O94953	0.72696936
O94955	0.81420183
O94964	0.95266914
O94967	0.24741448
O94973	0.9456269
O94979	0.9992557
O94983	0.39944947
O94986	0.76649797
O94988	0.93412125
O94989	0.3163688
O94991	0.8531387
O94992	0.87248033
O95025	0.50806534
O95045	0.87280214
O95049	0.98829657
O95050	0.92850006
O95059	0.4726071
O95067	0.51090354
O95070	0.5488061
O95071	0.3641539
O95072	0.42350134
O95073	0.42874286
O95104	0.60056466
O95136	0.8738726
O95139	0.49776757
O95147	0.3708469
O95149	0.5249455
O95150	0.3506767
O95154	0.12931758
O95159	0.9594697
O95163	0.28333107
O95164	0.48467347
O95166	0.9917931
O95168	0.4049007
O95169	0.90720785
O95170	0.9982792
O95171	0.35400873
O95180	0.26008004
O95182	0.40004823
O95190	0.3621438
O95196	0.8020717
O95197	0.2850018
O95198	0.99902666
O95199	0.39664608
O95201	0.4200532
O95202	0.9028272
O95206	0.5596742
O95208	0.8309799
