UniprotEntry	task	split	label	source_sheet	Gene name	Organism	Organism ID	length	Hydropathy	FCR	IDR	LCR	PScore	PLAAC	catGRANULE	DeepCoil
Q8AZK7	SaPS	train	1	SaPS	EBNA-LP	Epstein-Barr virus	10377	506	0.35737812911726	0.296442687747035	1.0	0.760869565217391	3.19	-0.194	2.51734	0
P0AFF6	SaPS	train	1	SaPS	nusA	Escherichia coli	83333	495	0.469113355780022	0.315151515151515	0.0	0.0262626262626262	-0.08	-0.303	0.277556	0
Q9BP37	SaPS	train	1	SaPS		Haliotis rufescens	6454	88	0.485984848484848	0.181818181818181	0.0	0.136363636363636	0.0	-0.288		0
P20226	SaPS	train	1	SaPS	TBP	Homo sapiens	9606	339	0.447361520812848	0.138643067846607	0.0914454277286135	0.259587020648967	2.13	0.944	-0.285903	0
P24928	SaPS	train	1	SaPS	POLR2A	Homo sapiens	9606	1970	0.440665538635081	0.207614213197969	0.190862944162436	0.215736040609137	7.26	0.212	1.02913	0
Q9GZV5	SaPS	train	1	SaPS	WWTR1	Homo sapiens	9606	400	0.419888889	0.1675	0.115	0.105	3.03	0.334	0.00996463	0
P49790	SaPS	train	1	SaPS	NUP153	Homo sapiens	9606	1475	0.44787947269302397	0.170847457627118	0.0738983050847457	0.164067796610169	5.51	0.231	1.50904	0
O00444	SaPS	train	1	SaPS	PLK4	Homo sapiens	9606	970	0.435887743413515	0.222680412371134	0.0	0.0164948453608247	1.61	-0.068	0.896523	0
O14979	SaPS	train	1	SaPS	HNRNPDL	Homo sapiens	9606	420	0.394232804232803	0.247619047619047	0.157142857142857	0.307142857142857	16.83	0.509	2.08625	0
O43663	SaPS	train	1	SaPS	PRC1	Homo sapiens	9606	620	0.420591397849462	0.311290322580645	0.0516129032258064	0.0596774193548387	1.9	-0.131	0.168958	0
O43823	SaPS	train	1	SaPS	AKAP8	Homo sapiens	9606	692	0.388599871547848	0.304913294797687	0.135838150289017	0.164739884393063	4.38	0.092	1.73687	0
O60563	SaPS	train	1	SaPS	CCNT1	Homo sapiens	9606	726	0.422038567493112	0.213498622589531	0.0578512396694214	0.114325068870523	2.93	-0.038	0.383491	0
O60885	SaPS	train	1	SaPS	BRD4	Homo sapiens	9606	1362	0.379882525697504	0.238619676945668	0.666666666666666	0.441262848751835	2.73	0.419	0.211904	0
O95049	SaPS	train	1	SaPS	TJP3	Homo sapiens	9606	919	0.420178938	0.274211099020674	0.0924918389553862	0.114254624591947	3.74	-0.193	1.37652	0
P03372	SaPS	train	1	SaPS	ESR1	Homo sapiens	9606	595	0.460709617180204	0.208403361344537	0.0	0.107563025210084	2.12	0.05	0.552057	0
P04156	SaPS	train	1	SaPS	PRNP	Homo sapiens	9606	253	0.436978480456741	0.142292490118577	0.0	0.387351778656126	12.9	0.247	2.12884	0
P06748	SaPS	train	1	SaPS	NPM1	Homo sapiens	9606	294	0.39225245653817	0.360544217687074	0.255102040816326	0.159863945578231	0.26	-0.331	0.873033	0
P10636	SaPS	train	1	SaPS	MAPT	Homo sapiens	9606	758	0.402037525652301	0.258575197889182	0.879947229551451	0.154353562005277	3.41	-0.061	1.71571	0
P10644	SaPS	train	1	SaPS	PRKAR1A	Homo sapiens	9606	381	0.451414406532518	0.299212598425196	0.00262467191601049	0.0	0.76	-0.387	0.458847	0
P17600	SaPS	train	1	SaPS	SYN1	Homo sapiens	9606	705	0.430181245074861	0.167375886524822	0.364539007092198	0.357446808510638	3.82	0.34	1.3036	0
P17931	SaPS	train	1	SaPS	LGALS3	Homo sapiens	9606	250	0.45608888888889	0.128	0.072	0.34	5.42	0.293	1.57056	0
P23771	SaPS	train	1	SaPS	GATA3	Homo sapiens	9606	443	0.426460998244294	0.151241534988713	0.0	0.214446952595936	2.24	-0.1	0.556206	0
P26368	SaPS	train	1	SaPS	U2AF2	Homo sapiens	9606	475	0.434549707602338	0.265263157894736	0.132631578947368	0.164210526315789	0.12	-0.114	0.770609	0
P31271	SaPS	train	1	SaPS	HOXA13	Homo sapiens	9606	388	0.469444444	0.154639175257731	0.0	0.350515463917525	4.05	0.025	0.315748	0
P31483	SaPS	train	1	SaPS	TIA1	Homo sapiens	9606	386	0.435751295336787	0.16321243523316	0.0	0.077720207253886	5.57	0.424	0.972891	0
P31943	SaPS	train	1	SaPS	HNRNPH1	Homo sapiens	9606	449	0.433085869834201	0.227171492204899	0.0	0.131403118040089	8.3	0.305	2.32642	0
P42858	SaPS	train	1	SaPS	HTT	Homo sapiens	9606	3142	0.492626776999797	0.1973265436028	0.0222788033099936	0.0738383195416931	2.16	0.619	0.369345	0
P45973	SaPS	train	1	SaPS	CBX5	Homo sapiens	9606	191	0.369633507853402	0.413612565445026	0.858638743455497	0.0523560209424083	-0.34	-0.541	0.541553	0
P46937	SaPS	train	1	SaPS	YAP1	Homo sapiens	9606	504	0.415961199	0.17063492063492	0.117063492063492	0.15079365079365	2.69	0.279	0.365767	0
P50995	SaPS	train	1	SaPS	ANXA11	Homo sapiens	9606	505	0.442068206820683	0.2	0.0752475247524752	0.263366336633663	5.27	0.33	1.21797	0
P51991	SaPS	train	1	SaPS	HNRNPA3	Homo sapiens	9606	378	0.390123456790121	0.243386243386243	0.208994708994708	0.462962962962962	15.69	0.484	5.25324	0
P52948	SaPS	train	1	SaPS	NUP98	Homo sapiens	9606	1817	0.454032899162232	0.189323059988992	0.0	0.112272977435332	5.81	0.164	1.34485	0
P78344	SaPS	train	1	SaPS	EIF4G2	Homo sapiens	9606	907	0.448021560700724	0.254685777287761	0.0584343991179713	0.15986769570011	2.36	0.127	0.79307	0
P80723	SaPS	train	1	SaPS	BASP1	Homo sapiens	9606	227	0.360450318159569	0.365638766519823	1.0	0.713656387665198	0.68	-0.315	0.549754	0
Q01844	SaPS	train	1	SaPS	EWSR1	Homo sapiens	9606	656	0.375897696476964	0.167682926829268	0.496951219512195	0.589939024390243	9.31	0.573	3.35544	0
Q06124	SaPS	train	1	SaPS	PTPN11	Homo sapiens	9606	593	0.419932998324958	0.279932546374367	0.0703517587939698	0.0351758793969849	0.97	-0.296	1.03426	0
Q07157	SaPS	train	1	SaPS	TJP1	Homo sapiens	9606	1748	0.398766844647856	0.269450800915331	0.352402745995423	0.0926773455377574	2.33	0.011	1.22558	0
Q12888	SaPS	train	1	SaPS	TP53BP1	Homo sapiens	9606	1972	0.422199684471494	0.259634888438133	0.435091277890466	0.0786004056795131	2.56	-0.159	1.19479	0
Q13148	SaPS	train	1	SaPS	TARDBP	Homo sapiens	9606	414	0.440606548577562	0.202898550724637	0.0314009661835748	0.256038647342995	5.95	0.46	2.038	0
Q13283	SaPS	train	1	SaPS	G3BP1	Homo sapiens	9606	466	0.40736766809728	0.274678111587982	0.358369098712446	0.221030042918454	1.26	-0.171	1.19128	0
Q13950	SaPS	train	1	SaPS	RUNX2	Homo sapiens	9606	521	0.428321604	0.149712092130518	0.142034548944337	0.163147792706333	4.16	0.402	0.0743264	0
Q14011	SaPS	train	1	SaPS	CIRBP	Homo sapiens	9606	172	0.382364341085271	0.284883720930232	0.645348837209302	0.436046511627907	10.76	0.058	3.58024	0
Q14781	SaPS	train	1	SaPS	CBX2	Homo sapiens	9606	532	0.423391812865497	0.242481203007518	0.453007518796992	0.159774436090225	1.88	-0.03	0.93924	0
Q15648	SaPS	train	1	SaPS	MED1	Homo sapiens	9606	1581	0.424738210696466	0.205566097406704	0.374446552814674	0.225173940543959	4.03	0.145	1.62551	0
Q16236	SaPS	train	1	SaPS	NFE2L2	Homo sapiens	9606	605	0.428264462809915	0.262809917355371	0.0595041322314049	0.0876033057851239	1.6	-0.226	0.329062	1
Q5VSY0	SaPS	train	1	SaPS	GKAP1	Homo sapiens	9606	366	0.366514876	0.360655737704918	0.363387978142076	0.0846994535519125	0.33	-0.379	0.928377	1
Q7Z739	SaPS	train	1	SaPS	YTHDF3	Homo sapiens	9606	585	0.421158594491926	0.17094017094017	0.117948717948717	0.28034188034188	4.0	0.511	1.36912	0
Q8NC56	SaPS	train	1	SaPS	LEMD2	Homo sapiens	9606	503	0.448089242	0.288270377733598	0.153081510934393	0.274353876739562	1.42	-0.184	0.00266268	0
Q8WXF1	SaPS	train	1	SaPS	PSPC1	Homo sapiens	9606	523	0.403356702783088	0.298279158699808	0.107074569789674	0.317399617590822	5.04	0.229	1.09613	0
Q92804	SaPS	train	1	SaPS	TAF15	Homo sapiens	9606	592	0.330874624624624	0.239864864864864	0.751689189189189	0.668918918918919	18.48	0.55	6.29463	0
Q96EP5	SaPS	train	1	SaPS	DAZAP1	Homo sapiens	9606	407	0.416161616161615	0.167076167076167	0.287469287469287	0.292383292383292	4.93	0.257	1.94351	0
Q96LT7	SaPS	train	1	SaPS	C9orf72	Homo sapiens	9606	481	0.492307692307693	0.228690228690228	0.0	0.0	0.12	-0.305	-0.0730522	0
Q96PK6	SaPS	train	1	SaPS	RBM14	Homo sapiens	9606	669	0.450357083540938	0.142002989536621	0.0	0.291479820627802	4.37	0.306	0.878358	0
Q9BYB0	SaPS	train	1	SaPS	SHANK3	Homo sapiens	9606	1731	0.438539058989667	0.238590410167533	0.507798960138648	0.214904679376083	3.52	-0.066	1.39822	0
Q9H0L4	SaPS	train	1	SaPS	CSTF2T	Homo sapiens	9606	616	0.449476911976912	0.183441558441558	0.0	0.258116883116883	5.98	0.297	1.74332	0
Q9NQI0	SaPS	train	1	SaPS	DDX4	Homo sapiens	9606	724	0.440224063842849	0.24585635359116	0.262430939226519	0.0607734806629834	6.77	-0.106	1.77535	0
Q9NSC5	SaPS	train	1	SaPS	HOMER3	Homo sapiens	9606	361	0.425977223761157	0.274238227146814	0.144044321329639	0.246537396121883	0.14	-0.223	0.222685	1
Q9NWB1	SaPS	train	1	SaPS	RBFOX1	Homo sapiens	9606	397	0.440666106912958	0.163727959697733	0.15617128463476	0.168765743073047	3.11	-0.009	0.511953	0
Q9UDY2	SaPS	train	1	SaPS	TJP2	Homo sapiens	9606	1190	0.394696545	0.310924369747899	0.178991596638655	0.0957983193277311	2.43	-0.18	1.49749	0
Q9UHD9	SaPS	train	1	SaPS	UBQLN2	Homo sapiens	9606	624	0.461271367521366	0.113782051282051	0.0657051282051282	0.346153846153846	3.24	0.157	0.531376	0
Q9UPU9	SaPS	train	1	SaPS	SAMD4A	Homo sapiens	9606	718	0.437356855462706	0.194986072423398	0.0	0.104456824512534	2.44	0.129	0.654921	0
P04289	SaPS	train	1	SaPS	UL11	Human herpesvirus 1	10299	96	0.424652777777777	0.25	1.0	0.0	0.0	-0.314	-0.56114	0
P04591	SaPS	train	1	SaPS	gag	Human immunodeficiency virus type 1	11706	500	0.427488888888889	0.242	0.1	0.032	0.47	-0.158	0.647244	0
Q60838	SaPS	train	1	SaPS	Dvl2	Mus musculus	10090	736	0.439960748792268	0.207880434782608	0.029891304347826	0.277173913043478	4.18	0.034	1.20043	0
D3YXK2	SaPS	train	1	SaPS	Safb	Mus musculus	10090	937	0.355614846436616	0.39274279615795	0.742796157950907	0.186766275346851	5.76	0.093	1.76539	0
Q68FF6	SaPS	train	1	SaPS	Git1	Mus musculus	10090	770	0.435180375180377	0.255844155844155	0.0	0.0389610389610389	1.39	-0.178	0.383687	0
Q80ZI1	SaPS	train	1	SaPS	Trnp1	Mus musculus	10090	223	0.435625311410064	0.224215246636771	0.443946188340807	0.573991031390134	5.96	-0.13	0.83894	0
Q9JJ11	SaPS	train	1	SaPS	Tacc3	Mus musculus	10090	631	0.442437048776192	0.282091917591125	0.0	0.0586370839936608	0.88	-0.147	-0.0587913	1
Q9JMD0	SaPS	train	1	SaPS	Znf207	Mus musculus	10090	495	0.428193041526375	0.153535353535353	0.0686868686868686	0.569696969696969	5.1	0.302	0.318362	0
A0QSY1	SaPS	train	1	SaPS	MSMEG_1642	Mycolicibacterium smegmatis	246196	899	0.491187739463605	0.170189098998887	0.0	0.113459399332591	7.24	0.404		0
P19837	SaPS	train	1	SaPS		Nephila clavipes	2585209	748	0.502658942364822	0.0320855614973262	0.0320855614973262	0.899732620320855	9.77	0.336	7.07857	0
Q3YL59	SaPS	train	1	SaPS		Pinctada fucata	50426	136	0.438807189542482	0.345588235294117	0.0367647058823529	0.088235294117647	0.0	-0.604	0.273701	0
Q9JIR4	SaPS	train	1	SaPS	Rims1	Rattus norvegicus	10116	1615	0.397805297557622	0.286687306501548	0.202476780185758	0.173993808049535	1.73	-0.134	1.15428	0
Q9Z340	SaPS	train	1	SaPS	Pard3	Rattus norvegicus	10116	1337	0.39842100889221	0.295437546746447	0.280478683620044	0.164547494390426	2.39	0.097	1.56642	0
P04147	SaPS	train	1	SaPS	PAB1	Saccharomyces cerevisiae	559292	577	0.424667822068169	0.25476603119584	0.110918544194107	0.0623916811091854	4.38	0.353	1.23155	0
P05453	SaPS	train	1	SaPS	SUP35	Saccharomyces cerevisiae	559292	685	0.411419302514192	0.24963503649635	0.0700729927007299	0.278832116788321	6.21	0.854	1.71388	0
P06169	SaPS	train	1	SaPS	PDC1	Saccharomyces cerevisiae	559292	563	0.493487270574303	0.193605683836589	0.0	0.0248667850799289	0.27	-0.163	0.538531	0
P06778	SaPS	train	1	SaPS	RAD52	Saccharomyces cerevisiae	559292	471	0.409837225760789	0.276008492569002	0.121019108280254	0.0870488322717622	1.0	-0.107	0.871726	0
P14904	SaPS	train	1	SaPS	APE1	Saccharomyces cerevisiae	559292	514	0.46275399913532	0.245136186770428	0.00972762645914396	0.0486381322957198	0.24	-0.187	1.17174	0
P14907	SaPS	train	1	SaPS	NSP1	Saccharomyces cerevisiae	559292	823	0.392682597542864	0.229647630619684	0.490886998784933	0.195625759416767	5.67	0.425	2.31212	0
P23201	SaPS	train	1	SaPS	SPA2	Saccharomyces cerevisiae	559292	1466	0.407404881006519	0.298090040927694	0.336971350613915	0.130286493860845	1.51	-0.166	1.1492	0
P32588	SaPS	train	1	SaPS	PUB1	Saccharomyces cerevisiae	559292	453	0.406107431935248	0.165562913907284	0.185430463576158	0.271523178807947	2.94	0.698	1.23508	0
P35189	SaPS	train	1	SaPS	TAF14	Saccharomyces cerevisiae	559292	244	0.453551912568305	0.26639344262295	0.0	0.0614754098360655	-0.04	-0.494	0.0873621	0
P38713	SaPS	train	1	SaPS	OSH3	Saccharomyces cerevisiae	559292	996	0.418518518518518	0.273092369477911	0.00602409638554216	0.0512048192771084	0.75	-0.113	0.956948	0
P39517	SaPS	train	1	SaPS	DHH1	Saccharomyces cerevisiae	559292	506	0.457312252964428	0.205533596837944	0.0909090909090909	0.0889328063241106	0.36	0.432	0.126387	0
P40070	SaPS	train	1	SaPS	LSM4	Saccharomyces cerevisiae	559292	187	0.371182412358882	0.176470588235294	0.0	0.358288770053475	4.65	0.67	2.01803	0
P53297	SaPS	train	1	SaPS	PBP1	Saccharomyces cerevisiae	559292	722	0.406048014773776	0.240997229916897	0.0	0.252077562326869	5.18	0.371	1.77753	0
Q02199	SaPS	train	1	SaPS	NUP49	Saccharomyces cerevisiae	559292	472	0.454802259887005	0.127118644067796	0.0	0.286016949152542	5.47	0.427	1.97919	0
Q02629	SaPS	train	1	SaPS	NUP100	Saccharomyces cerevisiae	559292	959	0.421793534932218	0.106360792492179	0.0	0.254431699687174	7.28	0.557	2.99684	0
Q02630	SaPS	train	1	SaPS	NUP116	Saccharomyces cerevisiae	559292	1113	0.419237296595786	0.119496855345911	0.0	0.259658580413297	7.21	0.709	3.15392	0
Q08831	SaPS	train	1	SaPS	VTS1	Saccharomyces cerevisiae	559292	523	0.417994476311875	0.141491395793499	0.0458891013384321	0.248565965583174	3.88	0.352	0.546536	0
P78953	SaPS	train	1	SaPS	mid1	Schizosaccharomyces pombe	284812	920	0.436847826086956	0.241304347826086	0.0510869565217391	0.0445652173913043	1.66	-0.171	0.850294	0
P0DTC9	SaPS	train	1	SaPS	N	Severe acute respiratory syndrome coronavirus 2	2697049	419	0.392071068682046	0.229116945107398	0.255369928400954	0.207637231503579	2.49	0.081	1.64764	0
P11994	SaPS	train	1	SaPS	SM50	Strongylocentrotus purpuratus	7668	445	0.408789013732834	0.107865168539325	0.164044943820224	0.467415730337078	9.63	0.593	3.45258	0
P28163	SaPS	train	1	SaPS	SM30	Strongylocentrotus purpuratus	7668	290	0.480459770114944	0.13103448275862	0.0	0.151724137931034	0.97	-0.008	-0.0343045	0
D3KYQ3	SaPS	train	1	SaPS	NUP2	Tetrahymena thermophila	5911	1105	0.444917043740574	0.120361990950226	0.0	0.48235294117647	8.23	0.355	4.19225	0
K9ZTJ6	SaPS	train	1	SaPS	nup54.S	Xenopus laevis	8355	535	0.455908618899273	0.177570093457943	0.0	0.157009345794392	4.3	0.143	1.31226	0
Q5EAX5	SaPS	train	1	SaPS	nup58.S	Xenopus laevis	8355	599	0.477629382303838	0.121869782971619	0.0467445742904841	0.452420701168614	5.25	0.168	1.25318	0
Q5EWX9	SaPS	train	1	SaPS		Xenopus laevis	8355	1050	0.44553439153439	0.165714285714285	0.0476190476190476	0.186666666666666	3.56	0.135	0.415917	0
Q5XGN1	SaPS	train	1	SaPS	nup42	Xenopus laevis	8355	491	0.445530663045938	0.156822810590631	0.0509164969450101	0.205702647657841	3.27	0.178	1.29753	0
Q6DEC7	SaPS	train	1	SaPS	nup50.L	Xenopus laevis	8355	440	0.429065656565655	0.256818181818181	0.118181818181818	0.131818181818181	2.52	-0.073	1.35878	0
Q6NUF4	SaPS	train	1	SaPS	tpx2-a	Xenopus laevis	8355	716	0.391247672253261	0.335195530726256	0.438547486033519	0.187150837988826	2.17	-0.278	0.453015	0
Q7T226	SaPS	train	1	SaPS	velo1.L	Xenopus laevis	8355	779	0.39376693766938	0.278562259306803	0.148908857509627	0.0590500641848523	3.75	0.155	1.16944	0
Q91349	SaPS	train	1	SaPS	nup62.L	Xenopus laevis	8355	547	0.481312208003251	0.124314442413162	0.00182815356489945	0.321755027422303	4.08	0.138	0.516674	0
Q9PVZ2	SaPS	train	1	SaPS	nup214.L	Xenopus laevis	8355	2037	0.481219658539244	0.12960235640648	0.000981836033382425	0.295041728031418	5.82	0.17	1.06656	0
A0A6I8S983	SaPS	train	1	SaPS	cpeb4	Xenopus tropicalis	8364	728	0.428754578754577	0.190934065934065	0.0	0.146978021978021	4.38	0.147	1.31714	0
K9ZRR1	SaPS	train	1	SaPS	nup153	Xenopus tropicalis	8364	1547	0.451971557853909	0.159663865546218	0.0504201680672268	0.149321266968325	4.48	0.272	1.52428	0
Q5BJ56	SaPS	train	1	SaPS	fxr1	Xenopus tropicalis	8364	674	0.399192218925157	0.323442136498516	0.305637982195845	0.130563798219584	3.66	-0.136	1.43778	0
O43236	SaPS	train	0	NoPS	44078	Homo sapiens	9606	478	0.412715016	0.313807531380753	0.165271966527196	0.0460251046025104	1.65	-0.244	0.551616	0
A0A075B6I9	SaPS	train	0	NoPS	LV746	Homo sapiens	9606	117	0.490503324	0.102564102564102	0.0	0.111111111111111		-0.128	-0.699909	0
A0A075B6N2	SaPS	train	0	NoPS	TVBT1	Homo sapiens	9606	111	0.506106106	0.162162162162162	0.0	0.225225225225225		-0.324	-1.02884	0
A0A075B6R0	SaPS	train	0	NoPS	TRGV2	Homo sapiens	9606	118	0.456403013	0.177966101694915	0.0	0.101694915254237		-0.223	-0.0680209	0
A0A075B6T7	SaPS	train	0	NoPS	TVA6	Homo sapiens	9606	132	0.460942761	0.227272727272727	0.0	0.128787878787878		-0.357	-0.654007	0
A0A075B6W5	SaPS	train	0	NoPS	TVA23	Homo sapiens	9606	121	0.468411387	0.181818181818181	0.330578512396694	0.0		-0.208	-0.286524	0
A0A087WSZ9	SaPS	train	0	NoPS	TVA30	Homo sapiens	9606	112	0.468452381	0.178571428571428	0.258928571428571	0.0		-0.342	-0.547254	0
A0A087WT03	SaPS	train	0	NoPS	TVAZ1	Homo sapiens	9606	109	0.484097859	0.174311926605504	0.0	0.0		-0.183	-1.2618	0
A0A087WTH1	SaPS	train	0	NoPS	TM265	Homo sapiens	9606	108	0.556995885	0.212962962962962	0.0277777777777777	0.129629629629629		-0.717	-2.09184	0
A0A087WVF3	SaPS	train	0	NoPS	TBC3D	Homo sapiens	9606	549	0.426047359	0.256830601092896	0.00546448087431694	0.052823315118397	3.03	-0.099	0.551894	0
A0A087WW87	SaPS	train	0	NoPS	KV240	Homo sapiens	9606	121	0.486501377	0.173553719008264	0.0	0.0		-0.239	-0.657731	0
A0A087WWA1	SaPS	train	0	NoPS	P3URF	Homo sapiens	9606	95	0.430877193	0.2	0.989473684210526	0.0		-0.057	-0.467309	0
A0A087WXM9	SaPS	train	0	NoPS	MEIKN	Homo sapiens	9606	373	0.420911528	0.260053619302949	0.214477211796246	0.131367292225201	-0.01	-0.289	0.496402	0
A0A087X1C5	SaPS	train	0	NoPS	CP2D7	Homo sapiens	9606	515	0.498209277	0.207766990291262	0.0	0.0504854368932038	0.3	-0.323	-0.000506399	0
A0A096LP01	SaPS	train	0	NoPS	SIM26	Homo sapiens	9606	95	0.438362573	0.231578947368421	1.0	0.0		-0.417	-0.199309	0
A0A096LP49	SaPS	train	0	NoPS	CC187	Homo sapiens	9606	1063	0.419441831	0.223894637817497	0.188146754468485	0.0865475070555032	2.62	-0.055	0.854345	0
A0A0A6YYD4	SaPS	train	0	NoPS	TVB13	Homo sapiens	9606	124	0.469265233	0.193548387096774	0.0	0.0		-0.202	-0.895788	0
A0A0B4J234	SaPS	train	0	NoPS	TVA2	Homo sapiens	9606	112	0.514087302	0.142857142857142	0.0	0.0		-0.204	-0.980781	0
A0A0B4J244	SaPS	train	0	NoPS	TVA3	Homo sapiens	9606	114	0.498927875	0.149122807017543	0.0	0.0		-0.199	-0.548839	0
A0A0B4J248	SaPS	train	0	NoPS	TVA11	Homo sapiens	9606	108	0.489814815	0.138888888888888	0.0	0.0		-0.134	-0.0800438	0
A0A0B4J277	SaPS	train	0	NoPS	TVA22	Homo sapiens	9606	110	0.498383838	0.127272727272727	0.0	0.0		-0.14	-0.691758	0
A0A0B4J280	SaPS	train	0	NoPS	TVA40	Homo sapiens	9606	105	0.488994709	0.133333333333333	0.0	0.0		-0.213	-0.160676	0
A0A0B4J2D5	SaPS	train	0	NoPS	GAL3B	Homo sapiens	9606	268	0.503358209	0.212686567164179	0.0	0.0597014925373134	0.67	-0.326	0.258296	0
A0A0B4J2F0	SaPS	train	0	NoPS	PIOS1	Homo sapiens	9606	54	0.473868313	0.277777777777777	1.0	0.0			-1.25977	0
A0A0B4J2F2	SaPS	train	0	NoPS	SIK1B	Homo sapiens	9606	783	0.478004825	0.183908045977011	0.0	0.122605363984674	0.69	-0.176	0.375291	0
A0A0D9SF12	SaPS	train	0	NoPS	CC163	Homo sapiens	9606	145	0.496475096	0.151724137931034	0.0	0.117241379310344	-0.81	-0.279	-0.945415	0
A0A0J9YWL9	SaPS	train	0	NoPS	TX13C	Homo sapiens	9606	993	0.426261609	0.225579053373615	0.0473313192346425	0.0161127895266868	3.0	-0.025	0.601129	0
A0A0U1RQF7	SaPS	train	0	NoPS	DP2NB	Homo sapiens	9606	123	0.429177958	0.235772357723577	0.804878048780487	0.24390243902439		-0.302	-0.216559	0
A0A0U1RQI7	SaPS	train	0	NoPS	KLF18	Homo sapiens	9606	1052	0.427777778	0.0979087452471483	0.0	0.0	2.43	0.291	0.977514	0
A0A0U1RR37	SaPS	train	0	NoPS	CA232	Homo sapiens	9606	186	0.416786141	0.279569892473118	1.0	0.284946236559139	0.4	-0.288	-0.520742	0
A0A0U1RRI6	SaPS	train	0	NoPS	CENL3	Homo sapiens	9606	287	0.445180023	0.254355400696864	0.250871080139372	0.303135888501742	-0.29	-0.231	0.0571905	0
A0A0U1RRN3	SaPS	train	0	NoPS	SPTOS	Homo sapiens	9606	59	0.496045198	0.203389830508474	0.847457627118643	0.0			-1.6506	0
A0A140G945	SaPS	train	0	NoPS	CRYA2	Homo sapiens	9606	173	0.445536288	0.260115606936416	0.0635838150289017	0.0	-1.13	-0.381	-0.201694	0
