UniprotEntry	task	split	label	source_sheet	Gene name	Organism	Organism ID	length	Hydropathy	FCR	IDR	LCR	PScore	PLAAC	catGRANULE	DeepCoil	Phos freq	DeepPhase
O95049	hSaPS	train	1	hSaPS	TJP3	Homo sapiens	9606	919	0.420178938	0.274211099020674	0.0924918389553862	0.114254624591947	3.74	-0.193	1.37652	0	0.055495103373231776	0.98829657
P03372	hSaPS	train	1	hSaPS	ESR1	Homo sapiens	9606	595	0.460709617180204	0.208403361344537	0.0	0.107563025210084	2.12	0.05	0.552057	0	0.043697478991596636	0.62620014
P04156	hSaPS	train	1	hSaPS	PRNP	Homo sapiens	9606	253	0.436978480456741	0.142292490118577	0.0	0.387351778656126	12.9	0.247	2.12884	0	0.011857707509881422	0.54185754
P06748	hSaPS	train	1	hSaPS	NPM1	Homo sapiens	9606	294	0.39225245653817	0.360544217687074	0.255102040816326	0.159863945578231	0.26	-0.331	0.873033	0	0.1292517006802721	0.9999989
P10636	hSaPS	train	1	hSaPS	MAPT	Homo sapiens	9606	758	0.402037525652301	0.258575197889182	0.879947229551451	0.154353562005277	3.41	-0.061	1.71571	0	0.08575197889182058	0.99996865
P10644	hSaPS	train	1	hSaPS	PRKAR1A	Homo sapiens	9606	381	0.451414406532518	0.299212598425196	0.00262467191601049	0.0	0.76	-0.387	0.458847	0	0.049868766404199474	0.5837576
P17600	hSaPS	train	1	hSaPS	SYN1	Homo sapiens	9606	705	0.430181245074861	0.167375886524822	0.364539007092198	0.357446808510638	3.82	0.34	1.3036	0	0.029787234042553193	
P17931	hSaPS	train	1	hSaPS	LGALS3	Homo sapiens	9606	250	0.45608888888889	0.128	0.072	0.34	5.42	0.293	1.57056	0	0.032	0.21532866
P23771	hSaPS	train	1	hSaPS	GATA3	Homo sapiens	9606	443	0.426460998244294	0.151241534988713	0.0	0.214446952595936	2.24	-0.1	0.556206	0	0.03160270880361174	0.3598392
P26368	hSaPS	train	1	hSaPS	U2AF2	Homo sapiens	9606	475	0.434549707602338	0.265263157894736	0.132631578947368	0.164210526315789	0.12	-0.114	0.770609	0	0.04631578947368421	0.5695936
P31271	hSaPS	train	1	hSaPS	HOXA13	Homo sapiens	9606	388	0.469444444	0.154639175257731	0.0	0.350515463917525	4.05	0.025	0.315748	0	0.01288659793814433	
P31483	hSaPS	train	1	hSaPS	TIA1	Homo sapiens	9606	386	0.435751295336787	0.16321243523316	0.0	0.077720207253886	5.57	0.424	0.972891	0	0.025906735751295335	0.33843723
P31943	hSaPS	train	1	hSaPS	HNRNPH1	Homo sapiens	9606	449	0.433085869834201	0.227171492204899	0.0	0.131403118040089	8.3	0.305	2.32642	0	0.08908685968819599	0.48519835
P42858	hSaPS	train	1	hSaPS	HTT	Homo sapiens	9606	3142	0.492626776999797	0.1973265436028	0.0222788033099936	0.0738383195416931	2.16	0.619	0.369345	0	0.025779758115849778	0.38359904
P45973	hSaPS	train	1	hSaPS	CBX5	Homo sapiens	9606	191	0.369633507853402	0.413612565445026	0.858638743455497	0.0523560209424083	-0.34	-0.541	0.541553	0	0.08900523560209424	0.54807293
P46937	hSaPS	train	1	hSaPS	YAP1	Homo sapiens	9606	504	0.415961199	0.17063492063492	0.117063492063492	0.15079365079365	2.69	0.279	0.365767	0	0.10119047619047619	0.44021887
P50995	hSaPS	train	1	hSaPS	ANXA11	Homo sapiens	9606	505	0.442068206820683	0.2	0.0752475247524752	0.263366336633663	5.27	0.33	1.21797	0	0.031683168316831684	0.3905059
P51991	hSaPS	train	1	hSaPS	HNRNPA3	Homo sapiens	9606	378	0.390123456790121	0.243386243386243	0.208994708994708	0.462962962962962	15.69	0.484	5.25324	0	0.0873015873015873	0.37546143
P52948	hSaPS	train	1	hSaPS	NUP98	Homo sapiens	9606	1817	0.454032899162232	0.189323059988992	0.0	0.112272977435332	5.81	0.164	1.34485	0	0.050082553659878924	0.91092837
P78344	hSaPS	train	1	hSaPS	EIF4G2	Homo sapiens	9606	907	0.448021560700724	0.254685777287761	0.0584343991179713	0.15986769570011	2.36	0.127	0.79307	0	0.03969128996692393	0.63827115
P80723	hSaPS	train	1	hSaPS	BASP1	Homo sapiens	9606	227	0.360450318159569	0.365638766519823	1.0	0.713656387665198	0.68	-0.315	0.549754	0	0.09251101321585903	0.9846676
Q01844	hSaPS	train	1	hSaPS	EWSR1	Homo sapiens	9606	656	0.375897696476964	0.167682926829268	0.496951219512195	0.589939024390243	9.31	0.573	3.35544	0	0.013719512195121951	0.9929067
Q06124	hSaPS	train	1	hSaPS	PTPN11	Homo sapiens	9606	593	0.419932998324958	0.279932546374367	0.0703517587939698	0.0351758793969849	0.97	-0.296	1.03426	0	0.05695142378559464	0.99939847
Q07157	hSaPS	train	1	hSaPS	TJP1	Homo sapiens	9606	1748	0.398766844647856	0.269450800915331	0.352402745995423	0.0926773455377574	2.33	0.011	1.22558	0	0.10125858123569793	0.9423402
Q12888	hSaPS	train	1	hSaPS	TP53BP1	Homo sapiens	9606	1972	0.422199684471494	0.259634888438133	0.435091277890466	0.0786004056795131	2.56	-0.159	1.19479	0	0.11866125760649088	0.9999287
Q13148	hSaPS	train	1	hSaPS	TARDBP	Homo sapiens	9606	414	0.440606548577562	0.202898550724637	0.0314009661835748	0.256038647342995	5.95	0.46	2.038	0	0.0821256038647343	0.90116626
Q13283	hSaPS	train	1	hSaPS	G3BP1	Homo sapiens	9606	466	0.40736766809728	0.274678111587982	0.358369098712446	0.221030042918454	1.26	-0.171	1.19128	0	0.0536480686695279	0.7262792
Q13950	hSaPS	train	1	hSaPS	RUNX2	Homo sapiens	9606	521	0.428321604	0.149712092130518	0.142034548944337	0.163147792706333	4.16	0.402	0.0743264	0	0.04222648752399232	0.4750314
Q14011	hSaPS	train	1	hSaPS	CIRBP	Homo sapiens	9606	172	0.382364341085271	0.284883720930232	0.645348837209302	0.436046511627907	10.76	0.058	3.58024	0	0.1511627906976744	0.3637668
Q14781	hSaPS	train	1	hSaPS	CBX2	Homo sapiens	9606	532	0.423391812865497	0.242481203007518	0.453007518796992	0.159774436090225	1.88	-0.03	0.93924	0	0.03571428571428571	0.7910277
Q15648	hSaPS	train	1	hSaPS	MED1	Homo sapiens	9606	1581	0.424738210696466	0.205566097406704	0.374446552814674	0.225173940543959	4.03	0.145	1.62551	0	0.07526881720430108	0.2992199
Q16236	hSaPS	train	1	hSaPS	NFE2L2	Homo sapiens	9606	605	0.428264462809915	0.262809917355371	0.0595041322314049	0.0876033057851239	1.6	-0.226	0.329062	1	0.03636363636363636	0.8754731
Q5VSY0	hSaPS	train	1	hSaPS	GKAP1	Homo sapiens	9606	366	0.366514876	0.360655737704918	0.363387978142076	0.0846994535519125	0.33	-0.379	0.928377	1	0.04918032786885246	0.3735423
Q7Z5Q1	hSaPS	train	1	hSaPS	CPEB2	Homo sapiens	9606	589	0.442048670062253	0.190152801358234	0.112054329371816	0.151103565365025	5.01	0.293	0.823716	0	0.028862478777589132	0.48394635
Q7Z739	hSaPS	train	1	hSaPS	YTHDF3	Homo sapiens	9606	585	0.421158594491926	0.17094017094017	0.117948717948717	0.28034188034188	4.0	0.511	1.36912	0	0.023931623931623933	0.8820928
Q8NC56	hSaPS	train	1	hSaPS	LEMD2	Homo sapiens	9606	503	0.448089242	0.288270377733598	0.153081510934393	0.274353876739562	1.42	-0.184	0.00266268	0	0.04771371769383698	0.81772524
Q8WXF1	hSaPS	train	1	hSaPS	PSPC1	Homo sapiens	9606	523	0.403356702783088	0.298279158699808	0.107074569789674	0.317399617590822	5.04	0.229	1.09613	0	0.02676864244741874	0.90160006
Q92804	hSaPS	train	1	hSaPS	TAF15	Homo sapiens	9606	592	0.330874624624624	0.239864864864864	0.751689189189189	0.668918918918919	18.48	0.55	6.29463	0	0.10304054054054054	0.59612304
Q96EP5	hSaPS	train	1	hSaPS	DAZAP1	Homo sapiens	9606	407	0.416161616161615	0.167076167076167	0.287469287469287	0.292383292383292	4.93	0.257	1.94351	0	0.019656019656019656	0.49435493
Q96LT7	hSaPS	train	1	hSaPS	C9orf72	Homo sapiens	9606	481	0.492307692307693	0.228690228690228	0.0	0.0	0.12	-0.305	-0.0730522	0	0.004158004158004158	
Q96PK6	hSaPS	train	1	hSaPS	RBM14	Homo sapiens	9606	669	0.450357083540938	0.142002989536621	0.0	0.291479820627802	4.37	0.306	0.878358	0	0.10014947683109118	0.9768793
Q9BYB0	hSaPS	train	1	hSaPS	SHANK3	Homo sapiens	9606	1731	0.438539058989667	0.238590410167533	0.507798960138648	0.214904679376083	3.52	-0.066	1.39822	0	0.032351242056614674	
Q9H0L4	hSaPS	train	1	hSaPS	CSTF2T	Homo sapiens	9606	616	0.449476911976912	0.183441558441558	0.0	0.258116883116883	5.98	0.297	1.74332	0	0.032467532467532464	0.8473407
Q9NQI0	hSaPS	train	1	hSaPS	DDX4	Homo sapiens	9606	724	0.440224063842849	0.24585635359116	0.262430939226519	0.0607734806629834	6.77	-0.106	1.77535	0	0.013812154696132596	
Q9NSC5	hSaPS	train	1	hSaPS	HOMER3	Homo sapiens	9606	361	0.425977223761157	0.274238227146814	0.144044321329639	0.246537396121883	0.14	-0.223	0.222685	1	0.0443213296398892	0.8283858
Q9NWB1	hSaPS	train	1	hSaPS	RBFOX1	Homo sapiens	9606	397	0.440666106912958	0.163727959697733	0.15617128463476	0.168765743073047	3.11	-0.009	0.511953	0	0.0025188916876574307	0.73343
Q9UDY2	hSaPS	train	1	hSaPS	TJP2	Homo sapiens	9606	1190	0.394696545	0.310924369747899	0.178991596638655	0.0957983193277311	2.43	-0.18	1.49749	0	0.1092436974789916	0.905053
Q9UHD9	hSaPS	train	1	hSaPS	UBQLN2	Homo sapiens	9606	624	0.461271367521366	0.113782051282051	0.0657051282051282	0.346153846153846	3.24	0.157	0.531376	0	0.016025641025641024	0.6381583
Q9UPU9	hSaPS	train	1	hSaPS	SAMD4A	Homo sapiens	9606	718	0.437356855462706	0.194986072423398	0.0	0.104456824512534	2.44	0.129	0.654921	0	0.04317548746518106	0.5534712
O43236	hSaPS	train	0	hNoPS	44078	Homo sapiens	9606	478	0.412715016	0.313807531380753	0.165271966527196	0.0460251046025104	1.65	-0.244	0.551616	0	0.012552301255230125	0.41887975
A0A075B6I9	hSaPS	train	0	hNoPS	LV746	Homo sapiens	9606	117	0.490503324	0.102564102564102	0.0	0.111111111111111		-0.128	-0.699909	0	0.0	
A0A075B6N2	hSaPS	train	0	hNoPS	TVBT1	Homo sapiens	9606	111	0.506106106	0.162162162162162	0.0	0.225225225225225		-0.324	-1.02884	0	0.0	
A0A075B6R0	hSaPS	train	0	hNoPS	TRGV2	Homo sapiens	9606	118	0.456403013	0.177966101694915	0.0	0.101694915254237		-0.223	-0.0680209	0	0.0	
A0A075B6T7	hSaPS	train	0	hNoPS	TVA6	Homo sapiens	9606	132	0.460942761	0.227272727272727	0.0	0.128787878787878		-0.357	-0.654007	0	0.0	
A0A075B6W5	hSaPS	train	0	hNoPS	TVA23	Homo sapiens	9606	121	0.468411387	0.181818181818181	0.330578512396694	0.0		-0.208	-0.286524	0	0.0	
A0A087WSZ9	hSaPS	train	0	hNoPS	TVA30	Homo sapiens	9606	112	0.468452381	0.178571428571428	0.258928571428571	0.0		-0.342	-0.547254	0	0.0	
A0A087WT03	hSaPS	train	0	hNoPS	TVAZ1	Homo sapiens	9606	109	0.484097859	0.174311926605504	0.0	0.0		-0.183	-1.2618	0	0.0	
A0A087WTH1	hSaPS	train	0	hNoPS	TM265	Homo sapiens	9606	108	0.556995885	0.212962962962962	0.0277777777777777	0.129629629629629		-0.717	-2.09184	0	0.0	
A0A087WVF3	hSaPS	train	0	hNoPS	TBC3D	Homo sapiens	9606	549	0.426047359	0.256830601092896	0.00546448087431694	0.052823315118397	3.03	-0.099	0.551894	0	0.0	0.9678104
A0A087WW87	hSaPS	train	0	hNoPS	KV240	Homo sapiens	9606	121	0.486501377	0.173553719008264	0.0	0.0		-0.239	-0.657731	0	0.0	
A0A087WWA1	hSaPS	train	0	hNoPS	P3URF	Homo sapiens	9606	95	0.430877193	0.2	0.989473684210526	0.0		-0.057	-0.467309	0	0.0	
A0A087WXM9	hSaPS	train	0	hNoPS	MEIKN	Homo sapiens	9606	373	0.420911528	0.260053619302949	0.214477211796246	0.131367292225201	-0.01	-0.289	0.496402	0	0.0	
A0A087X1C5	hSaPS	train	0	hNoPS	CP2D7	Homo sapiens	9606	515	0.498209277	0.207766990291262	0.0	0.0504854368932038	0.3	-0.323	-0.000506399	0	0.0	
A0A096LP01	hSaPS	train	0	hNoPS	SIM26	Homo sapiens	9606	95	0.438362573	0.231578947368421	1.0	0.0		-0.417	-0.199309	0	0.0	0.13956493
A0A096LP49	hSaPS	train	0	hNoPS	CC187	Homo sapiens	9606	1063	0.419441831	0.223894637817497	0.188146754468485	0.0865475070555032	2.62	-0.055	0.854345	0	0.0028222013170272815	
A0A0A6YYD4	hSaPS	train	0	hNoPS	TVB13	Homo sapiens	9606	124	0.469265233	0.193548387096774	0.0	0.0		-0.202	-0.895788	0	0.0	
A0A0B4J234	hSaPS	train	0	hNoPS	TVA2	Homo sapiens	9606	112	0.514087302	0.142857142857142	0.0	0.0		-0.204	-0.980781	0	0.0	
A0A0B4J244	hSaPS	train	0	hNoPS	TVA3	Homo sapiens	9606	114	0.498927875	0.149122807017543	0.0	0.0		-0.199	-0.548839	0	0.0	
A0A0B4J248	hSaPS	train	0	hNoPS	TVA11	Homo sapiens	9606	108	0.489814815	0.138888888888888	0.0	0.0		-0.134	-0.0800438	0	0.0	
A0A0B4J277	hSaPS	train	0	hNoPS	TVA22	Homo sapiens	9606	110	0.498383838	0.127272727272727	0.0	0.0		-0.14	-0.691758	0	0.0	
A0A0B4J280	hSaPS	train	0	hNoPS	TVA40	Homo sapiens	9606	105	0.488994709	0.133333333333333	0.0	0.0		-0.213	-0.160676	0	0.0	
A0A0B4J2D5	hSaPS	train	0	hNoPS	GAL3B	Homo sapiens	9606	268	0.503358209	0.212686567164179	0.0	0.0597014925373134	0.67	-0.326	0.258296	0	0.0	0.4805526
A0A0B4J2F0	hSaPS	train	0	hNoPS	PIOS1	Homo sapiens	9606	54	0.473868313	0.277777777777777	1.0	0.0			-1.25977	0	0.0	
A0A0B4J2F2	hSaPS	train	0	hNoPS	SIK1B	Homo sapiens	9606	783	0.478004825	0.183908045977011	0.0	0.122605363984674	0.69	-0.176	0.375291	0	0.001277139208173691	
A0A0D9SF12	hSaPS	train	0	hNoPS	CC163	Homo sapiens	9606	145	0.496475096	0.151724137931034	0.0	0.117241379310344	-0.81	-0.279	-0.945415	0	0.0	
A0A0J9YWL9	hSaPS	train	0	hNoPS	TX13C	Homo sapiens	9606	993	0.426261609	0.225579053373615	0.0473313192346425	0.0161127895266868	3.0	-0.025	0.601129	0	0.02920443101711984	
A0A0U1RQF7	hSaPS	train	0	hNoPS	DP2NB	Homo sapiens	9606	123	0.429177958	0.235772357723577	0.804878048780487	0.24390243902439		-0.302	-0.216559	0	0.0	
A0A0U1RQI7	hSaPS	train	0	hNoPS	KLF18	Homo sapiens	9606	1052	0.427777778	0.0979087452471483	0.0	0.0	2.43	0.291	0.977514	0	0.0	
A0A0U1RR37	hSaPS	train	0	hNoPS	CA232	Homo sapiens	9606	186	0.416786141	0.279569892473118	1.0	0.284946236559139	0.4	-0.288	-0.520742	0	0.0	
A0A0U1RRI6	hSaPS	train	0	hNoPS	CENL3	Homo sapiens	9606	287	0.445180023	0.254355400696864	0.250871080139372	0.303135888501742	-0.29	-0.231	0.0571905	0	0.0	
A0A0U1RRN3	hSaPS	train	0	hNoPS	SPTOS	Homo sapiens	9606	59	0.496045198	0.203389830508474	0.847457627118643	0.0			-1.6506	0	0.0	
A0A140G945	hSaPS	train	0	hNoPS	CRYA2	Homo sapiens	9606	173	0.445536288	0.260115606936416	0.0635838150289017	0.0	-1.13	-0.381	-0.201694	0	0.0	0.36155662
A0A1B0GTC6	hSaPS	train	0	hNoPS	CC085	Homo sapiens	9606	90	0.490864198	0.177777777777777	0.0111111111111111	0.0		-0.409	-1.93325	0	0.0	
A0A1B0GTH6	hSaPS	train	0	hNoPS	CS2IP	Homo sapiens	9606	734	0.440402664	0.160762942779291	0.0	0.0817438692098092	0.85	-0.015	0.184738	0	0.0	
A0A1B0GTI8	hSaPS	train	0	hNoPS	TM272	Homo sapiens	9606	187	0.566131907	0.160427807486631	0.0	0.304812834224598	-0.93	-0.408	-1.51123	0	0.0	
A0A1B0GTK5	hSaPS	train	0	hNoPS	F236D	Homo sapiens	9606	79	0.48185654	0.227848101265822	1.0	0.0		-0.461	-0.641935	0	0.0	
A0A1B0GTQ4	hSaPS	train	0	hNoPS	MYMX	Homo sapiens	9606	84	0.500661376	0.261904761904761	0.845238095238095	0.44047619047619		-0.554	-2.04082	0	0.0	
A0A1B0GTR0	hSaPS	train	0	hNoPS	EDD13	Homo sapiens	9606	161	0.478191856	0.248447204968944	0.0	0.0807453416149068	1.65	-0.543	-0.834024	0	0.0	
A0A1B0GTR3	hSaPS	train	0	hNoPS	CX05A	Homo sapiens	9606	108	0.318518519	0.398148148148148	1.0	0.296296296296296		-0.357	1.12973	0	0.018518518518518517	
A0A1B0GTR4	hSaPS	train	0	hNoPS	SPRR5	Homo sapiens	9606	108	0.347325103	0.0833333333333333	1.0	0.935185185185185		0.062	-3.62868	0	0.0	
A0A1B0GTS1	hSaPS	train	0	hNoPS	HSFX4	Homo sapiens	9606	333	0.403770437	0.243243243243243	0.174174174174174	0.078078078078078	2.36	-0.041	0.762523	0	0.0	
A0A1B0GTU1	hSaPS	train	0	hNoPS	ZC11B	Homo sapiens	9606	805	0.414672188	0.301863354037267	0.433540372670807	0.15527950310559	1.94	-0.321	0.6165	0	0.0	0.5712367
A0A1B0GTU2	hSaPS	train	0	hNoPS	CTXD1	Homo sapiens	9606	59	0.550659134	0.220338983050847	1.0	0.186440677966101			-3.24744	0	0.0	
A0A1B0GTW7	hSaPS	train	0	hNoPS	LMLN2	Homo sapiens	9606	788	0.484263959	0.16243654822335	0.0	0.123096446700507	1.79	-0.275	0.392018	0	0.0	
A0A1B0GTY4	hSaPS	train	0	hNoPS	TEX50	Homo sapiens	9606	177	0.477212806	0.23728813559322	0.0	0.248587570621468	-0.82	-0.568	-0.568638	0	0.0	
A0A1B0GTZ2	hSaPS	train	0	hNoPS	CC196	Homo sapiens	9606	297	0.390534979	0.323232323232323	0.0505050505050505	0.0	0.44	-0.15	0.661064	0	0.0	
A0A1B0GU29	hSaPS	train	0	hNoPS	SIM28	Homo sapiens	9606	152	0.482309942	0.164473684210526	0.5	0.138157894736842	0.03	-0.418	-0.830021	0	0.0	
A0A1B0GU33	hSaPS	train	0	hNoPS	TEX53	Homo sapiens	9606	70	0.419365079	0.214285714285714	1.0	0.0		-0.281	-1.30563	0	0.0	
A0A1B0GU71	hSaPS	train	0	hNoPS	C97D2	Homo sapiens	9606	98	0.386734694	0.346938775510204	1.0	0.173469387755102		-0.616	-1.00383	0	0.0	
A0A1B0GUA5	hSaPS	train	0	hNoPS	SIM32	Homo sapiens	9606	103	0.542718447	0.174757281553398	0.728155339805825	0.16504854368932		-0.426	-1.1231	0	0.0	
A0A1B0GUA6	hSaPS	train	0	hNoPS	CC195	Homo sapiens	9606	201	0.42432283	0.248756218905472	0.203980099502487	0.194029850746268	0.29	-0.214	-0.206725	0	0.0	
A0A1B0GUA7	hSaPS	train	0	hNoPS	TEX51	Homo sapiens	9606	166	0.477911647	0.246987951807228	0.0	0.156626506024096	-0.93	-0.512	-1.16813	0	0.0	
A0A1B0GUA9	hSaPS	train	0	hNoPS	CM046	Homo sapiens	9606	212	0.364884696	0.367924528301886	1.0	0.0	-0.1	-0.408	0.608169	0	0.0	
A0A1B0GUC4	hSaPS	train	0	hNoPS	MYCOS	Homo sapiens	9606	108	0.4218107	0.259259259259259	1.0	0.138888888888888		-0.448	-1.28982	0	0.0	
A0A1B0GUI7	hSaPS	train	0	hNoPS	BRDOS	Homo sapiens	9606	84	0.423015873	0.25	1.0	0.0		-0.283	-0.695107	0	0.0	
A0A1B0GUJ8	hSaPS	train	0	hNoPS	PNM8C	Homo sapiens	9606	204	0.441993464	0.333333333333333	0.254901960784313	0.0686274509803921	-0.84	-0.536	0.471964	0	0.0	
A0A1B0GUS0	hSaPS	train	0	hNoPS	CS085	Homo sapiens	9606	222	0.457857858	0.18018018018018	0.0	0.283783783783783	0.54	-0.242	-0.81117	0	0.0	
A0A1B0GUS4	hSaPS	train	0	hNoPS	UB2L5	Homo sapiens	9606	154	0.416305916	0.305194805194805	0.181818181818181	0.0	0.32	-0.358	-0.280431	0	0.0	0.28074387
A0A1B0GUT2	hSaPS	train	0	hNoPS	CJ143	Homo sapiens	9606	108	0.402572016	0.25	1.0	0.0		-0.268	0.383018	0	0.0	
A0A1B0GUU1	hSaPS	train	0	hNoPS	CQ113	Homo sapiens	9606	675	0.498699588	0.198518518518518	0.0	0.0533333333333333	0.57	-0.161	0.446252	0	0.0	
A0A1B0GUV7	hSaPS	train	0	hNoPS	TEX48	Homo sapiens	9606	120	0.400185185	0.225	0.708333333333333	0.0833333333333333		-0.217	-1.16921	0	0.0	
A0A1B0GUW6	hSaPS	train	0	hNoPS	SPEM3	Homo sapiens	9606	1196	0.429273504	0.165551839464882	0.0267558528428093	0.119565217391304	2.31	0.01	0.55008	0	0.0	
A0A1B0GUW7	hSaPS	train	0	hNoPS	SIM27	Homo sapiens	9606	55	0.521616162	0.218181818181818	1.0	0.0			-2.09672	0	0.0	
A0A1B0GUX0	hSaPS	train	0	hNoPS	VAFNB	Homo sapiens	9606	176	0.441414141	0.25	0.0	0.204545454545454	0.88	-0.277	-0.887669	0	0.0	
A0A1B0GUY1	hSaPS	train	0	hNoPS	MRCOL	Homo sapiens	9606	285	0.374892788	0.150877192982456	0.543859649122807	0.27719298245614	3.11	0.3	3.02142	0	0.0	
A0A1B0GV85	hSaPS	train	0	hNoPS	RELD1	Homo sapiens	9606	526	0.460202788	0.173003802281368	0.0	0.0152091254752851	1.49	-0.143	0.11247	0	0.0	
A0A1B0GVD1	hSaPS	train	0	hNoPS	F237B	Homo sapiens	9606	139	0.493764988	0.194244604316546	0.0	0.0		-0.159	-0.548496	0	0.0	
A0A1B0GVG4	hSaPS	train	0	hNoPS	CC194	Homo sapiens	9606	234	0.426495726	0.299145299145299	0.286324786324786	0.598290598290598	1.3	-0.318	-0.16703	1	0.0	
A0A1B0GVH4	hSaPS	train	0	hNoPS	PRS51	Homo sapiens	9606	220	0.45989899	0.19090909090909	0.0	0.0	-0.53	-0.292	-0.696152	0	0.0	
A0A1B0GVH6	hSaPS	train	0	hNoPS	CM042	Homo sapiens	9606	325	0.408991453	0.295384615384615	0.0	0.043076923076923	-0.45	-0.375	0.089649	0	0.0	
A0A1B0GVH7	hSaPS	train	0	hNoPS	IQCM	Homo sapiens	9606	501	0.414371257	0.329341317365269	0.0	0.0279441117764471	0.17	-0.455	0.334616	0	0.0	
A0A1B0GVM5	hSaPS	train	0	hNoPS	ETDC	Homo sapiens	9606	59	0.409039548	0.305084745762711	1.0	0.23728813559322			-0.594023	0	0.0	
A0A1B0GVM6	hSaPS	train	0	hNoPS	CK097	Homo sapiens	9606	126	0.420194004	0.285714285714285	0.984126984126984	0.0714285714285714		-0.515	0.638178	0	0.0	
A0A1B0GVN3	hSaPS	train	0	hNoPS	CB092	Homo sapiens	9606	265	0.458951782	0.249056603773584	0.0	0.10566037735849	0.39	-0.348	-0.354741	0	0.0	
A0A1B0GVQ0	hSaPS	train	0	hNoPS	SPAR	Homo sapiens	9606	90	0.541234568	0.133333333333333	0.866666666666666	0.222222222222222		-0.372	-1.62811	0	0.0	
A0A1B0GVQ3	hSaPS	train	0	hNoPS	CC200	Homo sapiens	9606	168	0.335185185	0.172619047619047	1.0	0.535714285714285	3.74	0.283	-1.02347	0	0.0	
A0A1B0GVR7	hSaPS	train	0	hNoPS	F240C	Homo sapiens	9606	95	0.393450292	0.326315789473684	1.0	0.0		-0.48	0.385811	0	0.0	
A0A1B0GVS7	hSaPS	train	0	hNoPS	MDFI2	Homo sapiens	9606	189	0.436155203	0.269841269841269	0.0	0.132275132275132	0.37	-0.449	-1.43002	0	0.0	
A0A1B0GVT2	hSaPS	train	0	hNoPS	SIM36	Homo sapiens	9606	93	0.547192354	0.172043010752688	0.64516129032258	0.0		-0.488	-1.46397	0	0.0	
A0A1B0GVV1	hSaPS	train	0	hNoPS	SIM35	Homo sapiens	9606	85	0.532941176	0.129411764705882	0.0705882352941176	0.247058823529411		-0.279	0.259636	0	0.0	
A0A1B0GVY4	hSaPS	train	0	hNoPS	SIM31	Homo sapiens	9606	71	0.411111111	0.394366197183098	1.0	0.408450704225352		-0.783	-1.09649	0	0.0	
A0A1B0GVZ2	hSaPS	train	0	hNoPS	F240B	Homo sapiens	9606	78	0.347435897	0.435897435897435	1.0	0.179487179487179		-0.814	-1.21716	0	0.0	
A0A1B0GW35	hSaPS	train	0	hNoPS	EXC1L	Homo sapiens	9606	172	0.477648579	0.273255813953488	0.0	0.0	-1.59	-0.412	-0.688834	0	0.0	
A0A1B0GW64	hSaPS	train	0	hNoPS	SIM33	Homo sapiens	9606	132	0.488047138	0.143939393939393	0.56060606060606	0.166666666666666		-0.34	-0.893223	0	0.0	
A0A1B0GWB2	hSaPS	train	0	hNoPS	PRT1B	Homo sapiens	9606	263	0.499915505	0.14828897338403	0.300380228136882	0.422053231939163	3.2	-0.037	-0.277964	0	0.0	
